Player Name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate
iryd,50.427,14.915,26.219,4,3.864,0,50.427,0
CarbonatedLove,47.458,13.403,27.809,2,3.964,0,47.458,0
pandacookie,37.234,10.323,30.277,1,4,0,37.234,0
Alkios,36.522,6.629,32.287,0,4.905,0,36.522,0
FaLiLV,32.432,8.043,30.201,2,4.361,0,32.432,0
Orfey,31.707,7.811,29.091,0,4.282,0,31.707,0
BlackCondor,30.769,9.834,27.032,5,3.972,0,30.769,0
SAVAGEGENIUS,30.631,6.463,33.76,0,4.5,0,30.631,0
SaikiChan,25.217,6.924,37.416,4,4.69,0,25.217,0
Dry,25.203,6.386,32.895,2,4.452,0,25.203,0
xeyz,22.609,2.664,41.282,0,5.692,0,22.609,0
mahzrunner,18.644,3.364,33.021,0,5.091,0,18.644,0
Janoxx,16.102,4.077,29.27,1,4.474,0,16.102,0
spanky,15.957,5.922,35.112,3,3.733,0,15.957,0
mitsorubi,13.008,2.768,43.199,1,5,0,13.008,0
VuhrCulls,11.702,1.66,35.055,0,5.273,0,11.702,0
JustaWeirdo,6.838,0.66,44.343,0,6.125,0,6.838,0
chommy,3.604,0.65,34.934,0,5.25,0,3.604,0
,,,,,,,,
2025-07-02,,,,,,,,
Eryth,75.758,25.166,24.38,10,3.95,0,75.758,0
badatlife,63.504,15.663,26.124,2,4.414,0,63.504,0
iryd,62.774,16.558,26.321,3,4.337,0,62.774,0
Diukes,59.259,18.865,22.996,6,3.938,0,59.259,0
kkura_,58.219,14.956,27.867,1,4.306,0,58.219,0
CarbonatedLove,53.788,14.087,24.185,4,4.451,0,53.788,0
SAVAGEGENIUS,37.778,10.162,27.28,6,4.51,0,37.778,0
Akaze,37.778,8.483,24.875,2,4.686,0,37.778,0
Alkios,37.671,7.125,26.801,1,4.891,0,37.671,0
Dry,32.117,7.589,27.625,2,4.682,0,32.117,0
Orfey,30.137,6.753,27.057,2,4.818,0,30.137,0
mahzrunner,26.515,4.06,30.47,0,5.371,0,26.515,0
spanky,25.547,6.166,29.578,2,4.743,0,25.547,0
SaikiChan,23.288,7.044,28.817,4,4.294,0,23.288,0
Baikinman,22.222,4.204,25.302,0,5,0,22.222,0
xeyz,18.182,2.4,32.638,0,5.708,0,18.182,0
,,,,,,,,
2025-07-07,,,,,,,,
poyoyoyoyo,74.302,25.865,26.03,10,4.015,0,74.302,0
Eryth,71.795,25.899,27.359,8,3.911,0,71.795,0
Tsui,58.14,18.441,27.733,6,4.28,0,58.14,0
badatlife,56.395,16.738,28.397,2,4.371,0,56.395,0
Diukes,53.642,15.912,27.726,4,4.309,0,53.642,0
SUS_DOMESTICUS,53.642,16.302,30.007,5,4.321,0,53.642,0
neoburnz,46.369,11.307,29.781,2,4.711,0,46.369,0
Alkios,37.179,9.397,30.579,2,4.741,0,37.179,0
gro,34.615,8.624,28.836,2,4.796,0,34.615,0
