Player Name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,,
Baikinman,75.397,20.671,32.227,21,3.347,75.397,0,0
paperyoshi10,69.231,15.184,33.288,15,3.922,69.231,0,0
PoolNoodle,47.794,8.394,37.492,5,4.462,47.794,0,0
AnimeroD,43.056,8.259,38.547,8,4.29,43.056,0,0
Edwardd,41.667,9.852,35.35,12,3.917,41.667,0,0
KaedeDayo,36.923,3.334,42.076,0,5.375,36.923,0,0
provenance,32.54,4.92,39.733,1,4.732,32.54,0,0
MD22,31.944,4.31,44.462,1,4.935,31.944,0,0
Zeal_Kido,29.412,3.882,43.162,0,5.05,29.412,0,0
I_am_stoney,28.462,2.285,43.675,1,5.703,28.462,0,0
LiljaKatsuragi,26.471,2.755,47.422,0,5.472,26.471,0,0
xeyz,25,2.444,49.121,0,5.361,25,0,0
Serozero,24.603,3.397,47.968,2,5.097,24.603,0,0
Homebad,14.615,0.911,51.769,0,6.211,14.615,0,0
Meowstic2121,8.73,0.321,66.571,0,6.909,8.73,0,0
,,,,,,,,
2025-03-12,,,,,,,,
AKl,83.761,29.726,23.56,24,2.745,83.761,0,0
comfv,81.818,25.721,24.524,12,3.069,81.818,0,0
YuriMeguri,78.495,23.981,24.315,5,2.973,78.495,0,0
Baikinman,61.856,18.597,25.683,10,3.267,61.856,0,0
FaLiLV,51.2,13.733,26.272,8,3.5,51.2,0,0
oh95,46.429,9.414,28.082,1,4.108,46.429,0,0
Yolowolf75,46.218,8.934,28.865,2,4.109,46.218,0,0
hmsuis,40.714,7.632,28.708,3,4.368,40.714,0,0
Tvaz,38.636,7.153,26.794,0,4.118,38.636,0,0
753,36.697,9.146,26.859,3,3.65,36.697,0,0
AnimeroD,36.697,8.904,26.197,2,3.675,36.697,0,0
Maki04,35.2,7.219,28.362,3,4.045,35.2,0,0
Kenzou_Tenma,34.409,8.394,25.789,1,3.469,34.409,0,0
Zeal_Kido,32.773,6.817,26.727,2,4.077,32.773,0,0
JuliAless64,29.915,5.357,30.565,0,4.086,29.915,0,0
Poppysr,28.409,4.182,28.917,0,4.52,28.409,0,0
