player name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate,rigs,rigs hit,correct count,song count,Rigs missed,Offlist GR,,
Steelrocket,53.659,,22.491,6,3.439,66.667,48.214,55.102,70,53,66,123,17,24.53%,,73
Diukes,47.273,,23.84,4,3.577,56.25,64.815,20,49,33,52,110,16,31.15%,,38
mahzrunner,38.182,,26.315,1,4.595,21.739,34.043,52.5,33,29,42,110,4,16.88%,,143
Bommie,38.182,,25.219,1,4.095,12.5,35.185,52.5,39,31,42,110,8,15.49%,,150
sayuu_,34.146,,26.023,3,3.952,44.444,32.143,32.653,27,25,42,123,2,17.71%,,220
Sheru,33.636,,24.616,3,3.838,50,31.481,30,35,30,37,110,5,9.33%,,145
UselessPanda,29.268,,25.107,0,4.167,27.778,26.786,32.653,17,14,36,123,3,20.75%,,1
IAmAsianNoob,25.455,,25.079,0,4.464,31.25,22.222,27.5,19,18,28,110,1,10.99%,,164
Skychael,24.39,,24.86,1,3.667,44.444,21.429,20.408,29,22,30,123,7,8.51%,,160
JustaWeirdo,12.727,,28.426,0,5.143,13.043,10.638,15,18,11,14,110,7,3.26%,,171
,,,,,,,,,,,,,,,,
2023-12-25,,,,,,,,,,,,,,,,#N/A
AKl,72.464,,22.425,6,3.91,82.759,67.241,72.549,67,58,100,138,9,59.15%,,4
EruisKawaii,57.042,,24.212,5,4.099,65.217,62.712,48.333,39,33,81,142,6,46.60%,,68
MahiruShiina,56.338,,23.49,2,4.287,26.087,64.407,60,86,69,80,142,17,19.64%,,70
Thaleko,55.556,,24.686,9,3.4,65.385,52.381,52.5,34,32,60,108,2,37.84%,,52
SPYAIR,48.936,,21.719,6,3.326,46.667,48.78,50,20,20,46,94,0,35.14%,,83
Bommie,47.183,,25.636,0,4.522,39.13,40.678,56.667,73,59,67,142,14,11.59%,,150
watashiii,45.455,,23.813,4,3.8,76.471,39.583,38.235,25,22,45,99,3,31.08%,,129
Sayuriii,41.304,,25.097,0,4.561,41.379,41.379,41.176,50,48,57,138,2,10.23%,,154
uomi,39.362,,21.919,4,3.189,33.333,29.268,52.632,23,21,37,94,2,22.54%,,104
