Player ID,PlayerName,ELONOWR,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,ELO
172.0,oolli,92.78,0.353,0.324,0.15,0.944,0.534,0.286,0.116,37.0,35.0,1.0,0.429,0.071,0.332,0.87,0.294,0.89,0.889,0.0,0.616,10,31.0,23.0,1.0,92.78
174.0,TateyamaAyano,75.94,0.277,0.182,0.05,0.844,0.521,0.2,0.037,13.0,14.0,1.0,0.218,0.037,0.241,0.806,0.367,0.76,0.895,0.0,0.693,5,13.0,14.0,1.0,75.94
175.0,Kirox,102.41,0.397,0.407,0.188,0.944,0.592,0.381,0.132,4.0,6.0,0.0,0.401,0.103,0.294,0.908,0.222,1.0,0.842,0.0,0.621,2,4.0,6.0,0.0,102.41
176.0,Spitzell,111.85,0.44,0.474,0.2,0.989,0.549,0.367,0.229,148.0,122.0,8.0,0.492,0.214,0.332,0.938,0.344,0.93,0.947,0.02,0.596,10,32.0,25.0,0.0,111.85
177.0,oh95,115.58,0.457,0.5,0.188,1.0,0.536,0.405,0.289,8.0,3.0,0.0,0.362,0.38,0.274,0.901,0.278,1.0,0.921,0.3,0.611,2,8.0,3.0,0.0,115.58
179.0,Floth,110.77,0.435,0.405,0.25,0.9,0.573,0.429,0.216,105.0,84.0,2.0,0.372,0.257,0.266,0.927,0.456,0.83,0.937,0.1,0.694,10,35.0,20.0,1.0,110.77
180.0,psirockin,90.82,0.344,0.282,0.156,0.956,0.557,0.281,0.116,47.0,47.0,0.0,0.309,0.076,0.271,0.849,0.378,0.74,0.868,0.0,0.699,10,29.0,22.0,0.0,90.82
181.0,Yolowolf75,86.19,0.323,0.307,0.094,0.889,0.507,0.19,0.079,3.0,7.0,0.0,0.23,0.125,0.294,0.725,0.25,0.85,0.789,0.0,0.684,2,3.0,7.0,0.0,86.19
191.0,redeyes,101.27,0.392,0.372,0.208,0.963,0.61,0.317,0.175,7.0,9.0,0.0,0.325,0.185,0.28,0.85,0.296,0.733,0.895,0.0,0.708,3,7.0,9.0,0.0,101.27
200.0,Nefregar,85.16,0.319,0.224,0.188,0.778,0.643,0.333,0.158,1.0,5.0,0.0,0.342,0.0,0.31,0.817,0.167,0.8,0.895,0.0,0.714,1,1.0,5.0,0.0,85.16
201.0,rorf,101.24,0.392,0.371,0.188,0.989,0.58,0.362,0.134,30.0,48.0,2.0,0.301,0.199,0.206,0.956,0.311,0.97,0.958,0.04,0.669,10,19.0,32.0,2.0,101.24
205.0,sssthnoob,106.19,0.414,0.426,0.141,0.972,0.541,0.375,0.194,21.0,20.0,2.0,0.589,0.122,0.413,0.898,0.312,0.825,0.967,0.025,0.604,8,21.0,20.0,2.0,106.19
214.0,Torradinhas,95.12,0.364,0.337,0.188,0.952,0.565,0.272,0.135,17.0,21.0,0.0,0.335,0.146,0.237,0.938,0.262,0.9,0.955,0.0,0.674,7,17.0,21.0,0.0,95.12
217.0,ShelterRin,110.35,0.433,0.477,0.143,0.984,0.555,0.381,0.248,22.0,16.0,1.0,0.385,0.326,0.258,0.954,0.222,0.9,0.977,0.143,0.623,7,22.0,16.0,1.0,110.35
220.0,Bofu,118.31,0.47,0.525,0.375,1.0,0.544,0.429,0.211,5.0,5.0,0.0,0.368,0.342,0.222,1.0,0.25,1.0,1.0,0.0,0.595,2,5.0,5.0,0.0,118.31
